&MRList
Model     =     1,
NReaction  =    8,
/

! Data From Nanbu
! COLUMNS: Energy (eV) | Cross section (m2)


!-----------------------------

&SRList

!PROCESS:  Elastic  "e + CF4  ->   e + CF4"
SR(1)%Reaction            =           0,11,0,0.d0,
SR(1)%EnergySigma         =
 0.00000000000000E+00  4.40000000000000E-20
 1.00000000000000E-02  4.46700000000000E-20
 1.40000000000000E-02  3.38900000000000E-20
 2.00000000000000E-02  2.41700000000000E-20
 2.50000000000000E-02  1.83700000000000E-20
 3.60000000000000E-02  1.33200000000000E-20
 4.80000000000000E-02  1.03900000000000E-20
 6.50000000000000E-02  8.37000000000000E-21
 8.90000000000000E-02  7.07200000000000E-21
 1.19000000000000E-01  6.51400000000000E-21
 1.62000000000000E-01  6.07100000000000E-21
 2.61000000000000E-01  6.50000000000000E-21
 3.69000000000000E-01  7.40300000000000E-21
 5.32000000000000E-01  8.92100000000000E-21
 7.51000000000000E-01  1.13200000000000E-20
 1.07600000000000E+00  1.59200000000000E-20
 1.48300000000000E+00  2.29500000000000E-20
 1.99000000000000E+00  3.17400000000000E-20
 2.65200000000000E+00  4.33300000000000E-20
 3.53500000000000E+00  5.95400000000000E-20
 4.57000000000000E+00  7.81100000000000E-20
 6.03800000000000E+00  9.52500000000000E-20
 8.09800000000000E+00  1.10000000000000E-19
 1.19900000000000E+01  1.26500000000000E-19
 1.90000000000000E+01  1.26300000000000E-19
 2.50800000000000E+01  1.09600000000000E-19
 3.23300000000000E+01  9.55900000000000E-20
 4.06600000000000E+01  8.28200000000000E-20
 5.09500000000000E+01  7.09300000000000E-20
 6.72500000000000E+01  6.11500000000000E-20
 9.15000000000000E+01  5.06500000000000E-20,
!-----------------------------
!PROCESS: Vibrational excitation v4  "e + CF4  ->   e + CF4(v4)"
SR(2)%Reaction            =           0,12,0,0.08d0,
SR(2)%EnergySigma     =
 8.00000000000000E-02  0.00000000000000E+00
 8.80000000000000E-02  1.24000000000000E-21
 9.40000000000000E-02  3.25800000000000E-21
 1.06000000000000E-01  4.68400000000000E-21
 1.34000000000000E-01  4.68100000000000E-21
 1.81000000000000E-01  3.52700000000000E-21
 2.51000000000000E-01  2.57100000000000E-21
 3.38000000000000E-01  1.88600000000000E-21
 4.45000000000000E-01  1.40300000000000E-21
 5.97000000000000E-01  1.06900000000000E-21
 8.02000000000000E-01  7.90000000000000E-22
 1.02400000000000E+00  6.15500000000000E-22
 1.36500000000000E+00  4.56200000000000E-22
 1.83700000000000E+00  3.33100000000000E-22
 2.36800000000000E+00  2.61200000000000E-22
 3.04600000000000E+00  2.00800000000000E-22
 3.92700000000000E+00  1.55700000000000E-22
 4.70300000000000E+00  1.29400000000000E-22
 5.78000000000000E+00  1.04200000000000E-22
!-----------------------------

!PROCESS: Vibrational excitation v3  "e + CF4  ->   e + CF4(v3)"
SR(3)%Reaction            =           0,12,0,0.166d0,
SR(3)%EnergySigma         =
 1.66000000000000E-01  0.00000000000000E+00
 1.74000000000000E-01  1.62100000000000E-20
 1.91000000000000E-01  9.53900000000000E-20
 2.20000000000000E-01  1.16400000000000E-19
 2.64000000000000E-01  1.16700000000000E-19
 3.42000000000000E-01  9.46000000000000E-20
 4.55000000000000E-01  6.91900000000000E-20
 6.05000000000000E-01  5.23100000000000E-20
 8.09000000000000E-01  4.34000000000000E-20
 1.11700000000000E+00  3.67300000000000E-20
 1.66900000000000E+00  3.12900000000000E-20
 2.30800000000000E+00  2.57000000000000E-20
 3.30800000000000E+00  2.32800000000000E-20
 4.59300000000000E+00  2.38000000000000E-20
 5.87000000000000E+00  3.17500000000000E-20
 7.19200000000000E+00  6.57500000000000E-20
 7.72100000000000E+00  8.46000000000000E-20
 8.48400000000000E+00  9.64300000000000E-20
 9.61700000000000E+00  8.91600000000000E-20
 1.06400000000000E+01  6.57900000000000E-20
 1.23600000000000E+01  4.12500000000000E-20
 1.52800000000000E+01  2.26100000000000E-20
 1.79000000000000E+01  1.40400000000000E-20
 2.14500000000000E+01  9.09700000000000E-21
 2.58000000000000E+01  5.77000000000000E-21
 3.29600000000000E+01  3.64100000000000E-21
 4.19600000000000E+01  2.19300000000000E-21
 5.17400000000000E+01  1.35200000000000E-21
 5.82300000000000E+01  1.07200000000000E-21
 6.63100000000000E+01  8.22800000000000E-22
 8.02900000000000E+01  5.28900000000000E-22
 1.04000000000000E+02  3.20200000000000E-22

!PROCESS: Electron attachment F-  "e + CF4  ->   F- + CF3"
SR(4)%Reaction            =           0,12,1,6.42d0,
SR(4)%EnergySigma     =
 6.42000000000000E+00  0.00000000000000E+00
 6.42700000000000E+00  1.00000000000000E-22
 6.78700000000000E+00  1.32800000000000E-22
 6.96500000000000E+00  1.76300000000000E-22
 7.31600000000000E+00  2.19800000000000E-22
 7.54100000000000E+00  2.29100000000000E-22
 8.16700000000000E+00  1.83700000000000E-22
 8.52400000000000E+00  1.44200000000000E-22
 8.86800000000000E+00  1.13300000000000E-22
 9.42000000000000E+00  9.97100000000000E-23

!PROCESS: Electron attachment CF3-  "e + CF4  ->   F + CF3-"
SR(5)%Reaction            =           0,14,3,6.42d0,
SR(5)%EnergySigma         =
 6.42000000000000E+00  0.00000000000000E+00
 6.42700000000000E+00  1.00000000000000E-22
 6.78700000000000E+00  1.32800000000000E-22
 6.96500000000000E+00  1.76300000000000E-22
 7.31600000000000E+00  2.19800000000000E-22
 7.54100000000000E+00  2.29100000000000E-22
 8.16700000000000E+00  1.83700000000000E-22
 8.52400000000000E+00  1.44200000000000E-22
 8.86800000000000E+00  1.13300000000000E-22
 9.42000000000000E+00  9.97100000000000E-23

!PROCESS: Electron excitation   "e + CF4  ->   e + CF4*" 
SR(6)%Reaction            =           0,14,0,7.57d0,
SR(6)%EnergySigma         =
 7.57000000000000E+00  0.00000000000000E+00
 7.57300000000000E+00  9.91100000000000E-23
 8.14000000000000E+00  5.89000000000000E-22
 8.91600000000000E+00  1.33200000000000E-21
 1.04900000000000E+01  2.17600000000000E-21
 1.30300000000000E+01  3.40500000000000E-21
 1.62100000000000E+01  4.38600000000000E-21
 1.99600000000000E+01  5.22700000000000E-21
 3.37500000000000E+01  7.23800000000000E-21
 4.74300000000000E+01  8.29900000000000E-21
 6.57700000000000E+01  8.96400000000000E-21
 9.73000000000000E+01  9.42600000000000E-21

!PROCESS: Dissociation  "e + CF4  ->   e + F- + CF3-"
SR(7)%Reaction            =           0,15,13,12.7d0,
SR(7)%EnergySigma         =
 1.27000000000000E+01  0.00000000000000E+00
 1.27100000000000E+01  1.00300000000000E-22
 1.34400000000000E+01  8.77400000000000E-22
 1.46300000000000E+01  2.25500000000000E-21
 1.60100000000000E+01  3.40300000000000E-21
 1.82300000000000E+01  4.72500000000000E-21
 2.16100000000000E+01  6.54900000000000E-21
 2.78500000000000E+01  8.57700000000000E-21
 3.31600000000000E+01  9.90500000000000E-21
 3.84400000000000E+01  1.13800000000000E-20
 5.22600000000000E+01  1.38500000000000E-20
 8.52800000000000E+01  1.74500000000000E-20
 9.87000000000000E+01  1.84600000000000E-20

!PROCESS: Ionisation "e + CF4  ->   2e +F + CF3(+)"  15.61
SR(8)%Reaction            =           0,13,2,15.61,
SR(8)%EnergySigma         =
 1.56100000000000E+01  0.00000000000000E+00
 1.56100000000000E+01  9.79300000000000E-23
 1.68000000000000E+01  2.89400000000000E-22
 1.82900000000000E+01  7.71500000000000E-22
 2.01500000000000E+01  2.34900000000000E-21
 2.18800000000000E+01  4.59100000000000E-21
 4.46500000000000E+01  7.98900000000000E-21
 6.85800000000000E+01  8.97700000000000E-21
 9.82000000000000E+01  9.66400000000000E-21
!-----------------------------
!xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
/
